pid,kicker,kgro,knet,ktb,kr,kry
80095,AV-0400,66,41,0,SS-2100,25
80111,PE-0100,54,37,0,EJ-1100,17
80140,PE-0100,54,35,0,EJ-1100,19
80181,PE-0100,45,27,0,DG-0800,18
80192,JH-5000,49,43,0,KD-1200,6
80205,PE-0100,44,40,0,RP-1800,4
80214,JH-5000,60,36,0,AD-1000,24
80224,PE-0100,49,36,0,EJ-1100,13
80233,PE-0100,70,62,0,EJ-1100,8
80248,PE-0100,65,43,0,EJ-1100,22
80260,MH-3100,14,14,0,,0
80271,JH-0900,61,26,0,RS-3500,35
80312,MK-1100,70,50,1,,0
80322,JH-0900,70,51,0,RS-3500,19
80353,MK-1100,63,54,0,DH-4200,9
80363,JH-0900,70,50,1,,0
80386,MK-1100,70,53,0,DH-4200,17
80406,JH-0900,55,35,1,,0
80426,MV-0100,63,40,0,CC-3300,23
80433,MV-0100,67,54,0,CC-3300,13
80442,MV-0100,64,39,0,CC-3300,25
80452,MV-0100,66,41,0,CC-3300,25
80467,JE-0200,60,35,0,KM-1100,25
80493,MV-0100,65,46,0,CC-3300,19
80499,MV-0100,66,38,0,CC-3300,28
80518,JE-0200,60,40,0,KM-1100,20
80529,MV-0100,62,38,0,KK-0200,24
80545,JE-0200,65,34,0,TI-0100,31
80554,MV-0100,60,40,0,KK-0200,20
80586,OM-0100,70,47,0,AB-1900,23
80612,OM-0100,69,44,0,AB-1900,25
80635,OM-0100,70,50,0,SB-1900,20
80660,SG-1100,56,44,0,BM-0200,12
80680,SG-1100,59,40,0,BM-0200,19
80697,OM-0100,68,49,0,AB-1900,19
80711,OM-0100,61,41,0,AB-1900,20
80741,TG-1500,59,40,0,VS-0300,19
80763,JC-5000,57,18,0,ML-1700,39
80774,JC-5000,58,39,0,ML-1700,19
80796,JC-5000,54,44,0,ML-1700,10
80818,JC-5000,66,45,0,ML-1700,21
80833,JC-5000,57,33,0,FM-0100,24
80855,JC-5000,64,18,0,ML-1700,46
80870,JC-5000,67,44,0,ML-1700,23
80886,RL-1300,61,52,0,JC-1400,9
80896,RL-1300,57,43,0,JC-1400,14
80904,RL-1300,60,37,0,JC-1400,23
80916,OP-0200,62,31,0,DL-1100,31
80938,OP-0200,58,23,0,DL-1100,35
80975,OP-0200,54,1,0,DL-1100,53
80982,RL-1300,62,43,0,JC-1400,19
80996,RL-1300,59,35,0,JC-1400,24
81005,RL-1300,58,46,0,JC-1400,12
81026,OP-0200,64,45,0,DL-1100,19
81054,OP-0200,28,28,0,,0
81063,BD-0100,57,24,0,CM-3100,33
81067,JH-0500,61,40,0,TK-0500,21
81088,BD-0100,57,37,0,CM-3100,20
81104,BD-0100,51,30,0,LJ-1500,21
81127,JH-0500,72,51,0,TK-0500,21
81137,BD-0100,59,50,0,CM-3100,9
81143,JH-0500,65,40,0,TK-0500,25
81151,BD-0100,25,25,0,,0
81156,JH-0500,68,44,0,TK-0500,24
81199,BD-0100,63,41,0,CM-3100,22
81217,JH-0500,72,52,1,,0
81224,PD-0200,58,42,0,TE-0200,16
81252,PD-0200,57,43,0,TE-0200,14
81262,KB-2300,48,34,0,JM-6100,14
81294,KB-2300,54,41,0,BG-0300,13
81295,KB-2300,54,29,0,AK-0400,25
81331,KB-2300,52,38,0,AK-0400,14
81349,KB-2300,66,48,0,AK-0400,18
81367,RL-0900,61,44,0,DH-0600,17
81425,RL-0900,65,42,0,DH-0600,23
81442,RL-0900,45,31,0,MB-1200,14
81447,TP-1200,59,44,0,CR-1500,15
81455,TP-1200,68,31,0,CR-1500,37
81476,TP-1200,70,50,1,,0
81493,RL-0900,57,36,0,DH-0600,21
81533,TP-1200,10,4,0,BE-0600,6
81536,JF-0900,59,40,0,YM-0100,19
81548,JW-3300,61,46,0,DV-0200,15
81568,JW-3300,58,40,0,DV-0200,18
81585,JF-0900,70,45,0,YM-0100,25
81595,JW-3300,66,37,0,DV-0200,29
81617,JF-0900,60,35,0,YM-0100,25
81619,JW-3300,67,45,0,DV-0200,22
81645,JW-3300,66,-30,0,DV-0200,96
81647,JF-0900,63,30,0,,0
81654,JW-3300,69,51,0,DV-0200,18
81686,JN-0600,67,50,0,RJ-1800,17
81700,JN-0600,64,42,0,RJ-1800,22
81726,JN-0600,53,38,0,RJ-1800,15
81748,NR-0100,43,29,0,EK-0600,14
81764,NR-0100,61,35,0,EB-0700,26
81771,NR-0100,54,39,0,EB-0700,15
81795,NR-0100,53,30,0,EB-0700,23
81805,NR-0100,63,40,0,EB-0700,23
81811,JN-0600,70,50,1,,0
81855,NR-0100,53,56,0,DM-0500,-3
81858,CO-0400,52,34,0,BJ-1700,18
81871,CO-0400,61,45,0,MB-1000,16
81898,BC-2300,67,46,0,MP-1300,21
81906,CO-0400,56,35,0,MB-1000,21
81918,BC-2300,54,41,0,MS-1400,13
81930,CO-0400,59,52,0,MB-1000,7
81932,BC-2300,46,37,0,SB-2200,9
81959,BC-2300,59,15,0,MP-1300,44
81995,BC-2300,40,29,0,DM-2000,11
82006,DA-0300,67,55,0,FM-0800,12
82016,DB-3900,54,33,0,BM-3300,21
82041,DB-3900,52,38,0,BM-3300,14
82064,DA-0300,56,38,0,RA-0100,18
82077,DB-3900,61,43,0,DD-2400,18
82079,DB-3900,58,23,0,BM-3300,35
82140,DA-0300,68,46,0,KW-1100,22
82144,DA-0300,66,44,0,FM-0800,22
82152,LJ-1000,65,37,0,JL-1600,28
82175,LJ-1000,70,50,1,,0
82187,DK-0500,60,53,0,HM-0500,7
82210,DK-0500,67,53,0,NJ-0200,14
82232,DK-0500,65,65,0,,0
82257,DK-0500,72,54,0,HM-0500,18
82306,DK-0500,55,34,0,DM-3700,21
82311,JH-0500,69,47,0,TK-0500,22
82324,SJ-0300,66,44,0,CM-3100,22
82341,SJ-0300,59,18,0,CM-3100,41
82348,JH-0500,63,40,0,TK-0500,23
82360,SJ-0300,63,17,0,CM-3100,46
82375,SJ-0300,50,34,0,LJ-1500,16
82379,SJ-0300,64,42,0,CM-3100,22
