pid,punter,pgro,pnet,ptb,pr,pry,pfc
584150,TM-3300,47,47,0,,0,0
584208,TM-3300,35,35,0,,0,0
584212,RQ-0050,46,46,0,,0,0
584248,RQ-0050,42,42,0,LM-1500,0,1
584265,RQ-0050,51,51,0,LM-1500,0,1
584300,BK-0700,51,56,0,TA-1050,-5,0
584322,BK-0700,30,30,0,TA-1050,0,1
584326,JH-3230,57,49,0,DW-3100,8,0
584330,BK-0700,42,28,0,TA-1050,14,0
584337,JH-3230,31,31,0,,0,0
584377,JH-3230,53,53,0,DW-3100,0,1
584382,BK-0700,55,35,1,,0,0
584386,JH-3230,45,45,0,,0,0
584421,JH-3230,56,56,0,DW-3100,0,0
584427,BK-0700,50,26,0,TA-1050,24,0
584446,JL-2250,34,34,0,DH-1800,0,1
584472,CJ-2100,46,20,0,MS-1300,26,0
584512,CJ-2100,51,42,0,MS-1300,9,0
584538,CJ-2100,53,53,0,MS-1300,0,1
584542,JL-2250,48,43,0,DH-1800,5,0
584552,CJ-2100,39,39,0,MS-1300,0,1
584564,CJ-2100,33,33,0,MS-1300,0,1
584584,JL-2250,31,31,0,DH-1800,0,1
584621,MK-1200,57,37,1,,0,0
584626,JR-3700,45,45,0,SD-0525,0,0
584647,JR-3700,39,39,0,EP-0050,0,1
584706,MK-1200,52,-19,0,GT-0100,71,0
584717,MK-1200,42,42,0,,0,0
584729,MK-1200,30,30,0,,0,0
584748,MK-1200,35,22,0,GT-0100,13,0
584754,MK-1200,52,44,0,GT-0100,8,0
584776,MK-0760,36,36,0,DJ-0200,0,1
584814,MK-0760,57,25,0,DJ-0200,32,0
584844,MK-0760,47,47,0,DJ-0200,0,0
584849,DJ-2800,31,31,0,,0,0
584871,MK-0760,47,47,0,,0,0
584883,MK-0760,55,35,1,,0,0
584887,DJ-2800,64,64,0,,0,0
584892,MK-0760,38,31,0,DJ-0200,7,0
584907,DJ-2800,36,36,0,JF-2600,0,1
584917,MK-0760,35,35,0,,0,0
584921,DJ-2800,35,35,0,,0,0
584931,DJ-2800,39,39,0,JF-2600,0,1
584945,DJ-2800,54,54,0,JF-2600,0,1
584969,RA-0850,54,34,1,,0,0
584973,MM-1900,49,49,0,JE-0100,0,1
585064,RA-0850,47,23,0,AB-3500,24,0
585091,MM-1900,41,-2,0,JE-0100,43,0
585102,MM-1900,50,50,0,JE-0100,0,0
585152,SL-0150,57,30,0,TD-1800,27,0
585156,SK-0600,48,28,1,,0,0
585188,SL-0150,47,47,0,TD-1800,0,1
585192,SK-0600,47,45,0,AE-0500,2,0
585207,SK-0600,55,43,0,AE-0500,12,0
585214,SK-0600,36,36,0,DB-1800,0,1
585218,SL-0150,54,54,0,TD-1800,0,1
585228,SL-0150,54,46,0,TD-1800,8,0
585255,SK-0600,45,25,1,,0,0
585262,SL-0150,38,38,0,TD-1800,0,0
585274,SK-0600,42,42,0,DB-1800,0,1
585278,SL-0150,53,17,0,TD-1800,36,0
585292,BC-3000,34,14,1,,0,0
585303,SK-0600,25,25,0,,0,0
585344,PM-0300,29,29,0,,0,0
585356,PM-0300,41,41,0,,0,0
585363,SL-0400,46,46,0,TH-1850,0,1
585367,PM-0300,45,39,0,KM-0450,6,0
585381,PM-0300,51,51,0,KM-0450,0,1
585386,SL-0400,57,23,0,TH-1850,34,0
585463,SL-0400,19,19,0,,0,0
585476,SL-0400,42,42,0,TH-1850,0,1
585481,PM-0300,56,36,0,KM-0450,20,0
585518,AP-1800,-24,-24,0,,0,0
585528,AP-1800,45,45,0,MH-4000,0,0
585532,TM-0800,40,40,0,DH-2700,0,1
585544,TM-0800,52,52,0,,0,0
585548,AP-1800,40,40,0,MH-4000,0,1
585554,TM-0800,39,39,0,,0,0
585571,AP-1800,45,33,0,MH-4000,12,0
585593,AP-1800,40,40,0,,0,0
585597,TM-0800,47,24,0,DH-2700,23,0
585613,TM-0800,38,38,0,,0,0
585619,AP-1800,40,40,0,MH-4000,0,1
585625,TM-0800,34,34,0,DH-2700,0,1
585715,JL-2250,49,49,0,JM-6300,0,0
585760,SR-0800,46,26,0,MS-1300,20,0
585774,SR-0800,33,33,0,,0,0
585786,SR-0800,56,42,0,MS-1300,14,0
585822,DJ-2800,43,41,0,MH-4000,2,0
585841,TM-0800,51,51,0,DJ-0200,0,1
585849,DJ-2800,34,34,0,,0,0
585910,TM-0800,45,45,0,,0,0
586009,AP-1800,36,36,0,MS-3900,0,1
586013,SM-0650,34,34,0,DH-2700,0,1
586057,AP-1800,50,50,0,MS-3900,0,1
586061,SM-0650,44,44,0,DH-2700,0,1
586075,SM-0650,59,43,0,DH-2700,16,0
586082,AP-1800,44,44,0,MS-3900,0,1
586089,SM-0650,41,41,0,DH-2700,0,1
586096,AP-1800,44,44,0,MS-3900,0,1
586118,AP-1800,39,39,0,,0,0
586157,PM-0300,47,47,0,TA-1050,0,1
586161,JH-3230,49,49,0,TH-1850,0,1
586166,PM-0300,58,29,0,TA-1050,29,0
586179,PM-0300,52,34,0,TA-1050,18,0
586197,PM-0300,51,-47,0,TA-1050,98,0
586203,PM-0300,47,47,0,TA-1050,0,0
586218,PM-0300,43,43,0,SH-0450,0,1
586239,JH-3230,43,41,0,LB-0850,2,0
586265,JH-3230,61,44,0,LB-0850,17,0
586280,JH-3230,42,36,0,LB-0850,6,0
586289,JH-3230,47,47,0,LB-0850,0,1
586307,SK-0600,46,40,0,BT-0300,6,0
586329,KH-2600,28,28,0,,0,0
586361,KH-2600,44,40,0,TD-1800,4,0
586365,SK-0600,46,37,0,BT-0300,9,0
586376,KH-2600,42,42,0,,0,0
586384,SK-0600,40,40,0,BT-0300,0,1
586388,KH-2600,44,34,0,TD-1800,10,0
586392,SK-0600,35,35,0,,0,0
