pid,qtr,min,sec,dwn,yds,pts,player,type
16299,4,0,56,3,2,7,AJ-1000,RUSH
16380,2,0,43,1,4,8,JS-6500,RUSH
16449,4,4,34,1,4,7,JS-6500,RUSH
16460,4,2,0,2,1,7,JS-6500,RUSH
16492,1,5,49,1,12,7,RW-2600,RUSH
16537,2,1,30,1,52,7,TD-2500,REC
16568,3,5,53,1,26,7,RW-2600,RUSH
16603,4,4,14,3,1,7,RW-2600,RUSH
16609,4,3,4,1,33,6,TM-0900,REC
16689,2,0,51,3,9,7,RT-0900,REC
16702,3,13,28,1,24,7,RG-1200,INT
16792,1,7,31,3,3,7,IB-0300,REC
16811,2,15,0,4,32,6,TO-0200,REC
16825,2,8,56,2,2,7,TB-1200,REC
16829,2,8,43,1,30,7,MM-3400,INT
16837,2,5,47,1,16,7,JR-2000,REC
16870,3,12,21,1,8,7,TB-1200,REC
16955,1,8,19,1,1,7,DS-3000,REC
17004,2,5,43,2,3,7,MA-1000,RUSH
17007,2,5,29,1,77,7,PW-0400,RUSH
17041,3,9,1,2,19,7,BB-1700,RUSH
17088,4,5,9,2,65,7,CD-1500,RUSH
17093,4,3,48,1,28,7,RS-2100,REC
17102,4,2,0,2,41,7,CD-1500,RUSH
17140,1,3,30,1,1,7,ES-1000,RUSH
17146,1,1,59,4,59,7,WM-0400,PR
17159,2,11,2,1,32,7,CW-0700,RUSH
17209,3,6,57,2,24,7,RI-0200,REC
17218,3,4,8,1,10,7,CW-0700,RUSH
17234,4,12,27,3,2,7,RT-0800,REC
17252,4,5,35,1,1,7,MP-1300,RUSH
17286,1,6,17,2,19,7,JR-0600,REC
17294,1,2,48,3,51,7,MH-1200,REC
17357,3,6,42,1,78,7,MH-1200,REC
17368,3,2,30,4,1,7,DB-2600,RUSH
17397,4,6,20,1,1,7,EJ-0200,REC
17410,4,2,12,1,3,6,EJ-0200,RUSH
17435,1,9,42,1,1,7,SD-0400,RUSH
17469,2,12,30,3,33,7,RS-2400,REC
17477,2,10,0,2,11,7,AC-2300,REC
17489,2,5,48,2,49,7,AC-2300,REC
17528,3,10,34,1,77,7,AC-2300,REC
17576,4,4,37,1,16,7,SD-0400,RUSH
17597,1,13,13,3,2,7,FM-0700,RUSH
17626,1,3,3,4,6,7,MC-1600,BLPU
17644,2,9,46,4,1,7,MF-0300,RUSH
17653,2,6,53,2,9,7,TG-1300,REC
17658,2,5,20,1,18,7,TH-2300,REC
17685,3,13,38,1,30,7,DA-0600,REC
17697,3,8,57,3,31,7,RW-2900,REC
17717,3,1,32,1,6,6,KA-0900,RUSH
17722,3,0,23,1,22,7,IB-0200,REC
17738,4,10,56,2,4,7,KA-0900,RUSH
17749,4,5,32,3,8,7,TD-2000,REC
17758,4,2,58,4,4,6,IB-0200,REC
17815,2,13,44,3,25,7,EM-1800,REC
17862,3,9,21,1,6,7,CC-1000,REC
17880,3,1,16,2,1,7,SM-3400,RUSH
17888,4,14,25,3,18,7,SM-3400,REC
17900,4,9,38,1,11,8,CC-1000,REC
17922,4,3,50,2,39,7,RM-5000,REC
17976,1,3,9,2,16,7,TB-2900,REC
17993,2,11,55,2,9,7,TB-2900,REC
18005,2,7,48,1,80,7,TW-1600,RUSH
18080,4,8,36,2,23,7,JJ-2200,REC
18173,2,0,51,1,3,7,JT-2200,REC
18329,2,8,30,4,1,7,JB-3400,RUSH
18444,1,5,9,1,42,7,LS-0700,REC
18451,1,3,22,1,68,7,LS-1100,RUSH
18507,2,0,57,3,10,7,WC-0100,REC
18550,3,0,15,1,3,7,LS-1100,RUSH
18558,4,13,54,2,30,6,LC-0800,REC
18574,4,9,59,1,1,7,JW-3000,REC
18599,4,4,1,2,24,7,WC-0100,REC
18602,4,3,41,1,46,7,LS-0700,REC
18614,4,1,0,2,3,7,JE-0400,REC
18666,1,2,39,1,1,7,LH-0100,REC
18673,1,0,22,2,3,7,TH-0500,REC
18739,3,5,16,3,40,7,KM-2200,INT
18765,4,10,36,1,1,7,RW-2600,RUSH
18936,4,5,8,3,2,7,JA-1600,RUSH
19041,3,10,6,1,45,6,HW-0100,REC
19121,1,5,6,1,1,7,SM-3400,RUSH
19131,1,1,5,2,12,7,FB-0100,REC
19158,2,4,58,2,45,7,HJ-0100,INT
19204,3,1,9,3,10,7,WC-0100,REC
19296,2,12,20,1,1,7,CD-1500,RUSH
19432,1,7,47,2,13,7,JH-1800,REC
19483,2,1,27,3,3,7,KB-1700,REC
19493,2,0,13,3,3,7,AW-1000,REC
19558,4,1,1,2,1,7,RC-2800,RUSH
19575,5,11,28,2,37,6,AW-1000,REC
19604,1,2,47,1,31,7,MP-1500,REC
19631,2,6,31,3,3,7,MH-1200,REC
19652,2,0,45,3,12,7,KD-1000,REC
19674,3,9,20,1,9,8,MB-0900,RUSH
19728,4,2,44,3,5,7,HM-0400,REC
19738,4,1,48,2,24,7,EJ-0200,RUSH
19774,1,1,6,1,1,7,DL-1100,RUSH
19785,2,12,1,2,7,7,DL-1100,RUSH
19816,2,1,18,2,1,7,JF-1400,RUSH
